0,1
ЦПН- Центр по недвижимости,ЖМО- жылжымайтын мүлік орталығы 
"ПОД/ФТ противодействия легализации 
незаконным путем, и финансированию терроризма; ","ТЗ/ ЛҚ ҚƏ -заңсыз жолмен алынған 
табысты заңдастыру (ақшаның жылыстауы) жəне лаңкестікті қаржыландыруға қарсы əрекет (бұдан əрі - ТЗ/ЛҚ ҚƏ) "
ОТиП сигнализации ,ЕҚжəнеӨҚ дабылдамасы 
АБС – автоматизированная банковская система ,АБЖ – автоматтандырылған банк жүйесі 
ЭЦП – электронная цифровая подпись ,ЭСҚ – электронды сандық қол 
ИР – инкассовое распоряжение ,ИӨ – инкассолық өкім 
	 ,СЖТМ (Сыйақының жылдық тиімді мөлшерлемесі) 
(ПТП банков)платежными требованиями поручениями банков ,(банктердің ТТТ) банктердің төлем талап-тапсырмалары 
ОМП УВД – отдел миграционной полиции управления внутренних дел,ІІБ КҚПБ – ішкі істер басқармасының көші-қон полиция бөлімі 
ТОО/ИУ- иностранный учредитель ,ЖШС/ШҚ- шетел құрылтайшысы 
ОМП – отдел миграционной полиции ,КҚПБ – көші-қон полиция бөлімі 
Заместитель начальника СУ УВД г. Семей  ДВД ВКО капитан полиции ,"ШҚО ІІД Семей қаласы ІІБ ТБ ЖБ 
бастығының орынбасары полиция капитаны "
ОМП УВД – отдел миграционной полиции управления внутренних дел,ІІБ КҚПБ – ішкі істер басқармасының көші-қон полиция бөлімі 
РГУ - республиканское государственное учреждение ,РММ – республикалық мемлекеттік мекеме 
МТС - Материально технический склад ,МТҚ - Материалды техникалық қойма 
ГДР- Глобальные Депозитарные расписки ,ҒДҚ – ғаламдық депозитарлық қолхаттар 
УГСЭН - Управление государственного санитарно-эпидемиологического надзора ,эпидемиологиялық бақылау басқармасы 
ОУСА- Организация по управлению сомнительными активами ,КАБҰ- Күдікті  активтерді басқару жөніндегі ұйым 
ФОТ- Фонд оплаты труда,ЕТҚ - Еңбекті төлеу қоры 
ТПС- типовой план счетов,ЕҮЖ – Есеп шоттардың үлгілік жоспары 
ЧСИ – частный судебный исполнитель ,ЖСО – жеке сот орындаушысы 
"ОКПО – Общегосударственный 
Классификатор  Предприятий Организаций ",КҰЖЖ -  
БРД – банковский рабочий документ ,БЖҚ - Банктік жұмыс құжаты 
СДБО - Система дистанционного банковского обслуживания ,АБҚЖ – алшақтан банктік қызмет көрсету жүйесі 
БРД – банковский рабочий документ ,БЖҚ - Банктік жұмыс құжаты 
СУИ – система управлении изменений,ӨБЖ – өзгерістерді басқару жүйесі 
КДН – коэффициент долговой нагрузки ,коэффициенті
ОПВ - обязательные пенсионные взносы,МЗЖ - міндетті зейнетақы жарнасы
ИПН - индивидуального подоходного налога ,ЖТС - жеке табыс салығы
СУИ – система управлении изменений,ӨБЖ – өзгерістерді басқару жүйесі 
"КПСиСУ ГП РК - Комитета по правовой статистике и специальным учетам. 
Генеральной прокуратуры Республики Казахстан","ҚР БП ҚСАЕК - Қазақстан Республикасы 
статистика жəне арнайы есепке алу жөнiндегi комитетi"
СОБС РГП КЦМР - Системаобмена ,ҚБЕО РМК БХАЖ - Қазақстан банкаралық 
